SGB ID	AverageAbundance	std	q1	MedianAbundance	q3	min	max	# Samples
121	0.064771594	0.006232599	0.062568037	0.064771594	0.06697515	0.060364481	0.069178707	2
124	0.181621889	0.098337065	0.146854486	0.181621889	0.216389291	0.112087083	0.251156694	2
125	0.213617318		0.213617318	0.213617318	0.213617318	0.213617318	0.213617318	1
362	0.364730952	0.119692257	0.297448217	0.324749082	0.412022751	0.270147352	0.499296421	3
363	0.177981214	0.097620938	0.093037896	0.167579039	0.267930757	0.052982304	0.315180538	11
364	0.465260341		0.465260341	0.465260341	0.465260341	0.465260341	0.465260341	1
372	0.168520192	0.109478872	0.103727899	0.140825095	0.221182979	0.052179156	0.336815342	7
376	0.299951113	0.186737439	0.179392889	0.226506728	0.308600012	0.119143077	0.711624754	23
378	0.212350002		0.212350002	0.212350002	0.212350002	0.212350002	0.212350002	1
380	0.302915035	0.134357373	0.234845691	0.286924436	0.335167858	0.130070932	0.570578684	9
381	0.203814636	0.166285322	0.10819384	0.129588023	0.225208818	0.104698175	0.451384323	4
382	0.095429915		0.095429915	0.095429915	0.095429915	0.095429915	0.095429915	1
384	0.13935469		0.13935469	0.13935469	0.13935469	0.13935469	0.13935469	1
385	0.417378969	0.236056463	0.187955338	0.404448544	0.57936798	0.103073951	0.796496049	16
568	0.256827327	0.196201424	0.187459649	0.256827327	0.326195006	0.11809197	0.395562685	2
690	1.155296154		1.155296154	1.155296154	1.155296154	1.155296154	1.155296154	1
696	0.492120563	0.037014375	0.479034006	0.492120563	0.505207121	0.465947448	0.518293678	2
697	0.547333306		0.547333306	0.547333306	0.547333306	0.547333306	0.547333306	1
698	0.385743545	0.251109792	0.190508811	0.326189811	0.48909174	0.082075576	0.776092477	9
711	0.542559511	0.337980616	0.347764006	0.367639373	0.649894947	0.327888638	0.932150521	3
713	1.369584615	2.513745376	0.383699808	0.725329231	1.348283678	0.078468955	20.73818719	94
714	1.061435191	1.257691504	0.335682079	0.696911947	1.374553306	0.016437496	12.67533176	487
715	0.844481657		0.844481657	0.844481657	0.844481657	0.844481657	0.844481657	1
743	1.061007851	0.482732704	0.890336067	1.061007851	1.231679636	0.719664282	1.40235142	2
745	0.507981505		0.507981505	0.507981505	0.507981505	0.507981505	0.507981505	1
746	0.733725746	0.511972372	0.452826399	0.503367221	0.940880056	0.17787449	1.881738632	14
747	0.820826345	0.411665738	0.675280527	0.820826345	0.966372162	0.529734709	1.11191798	2
748	0.384563585	0.386322225	0.116662552	0.180060474	0.56651624	0.060551037	1.436565643	15
749	0.255451038	0.300383887	0.123723426	0.184577217	0.281927054	0.059285604	2.376721731	67
758	12.27534274		12.27534274	12.27534274	12.27534274	12.27534274	12.27534274	1
955	0.176993717	0.015412297	0.171544648	0.176993717	0.182442787	0.166095578	0.187891857	2
956	0.172452932		0.172452932	0.172452932	0.172452932	0.172452932	0.172452932	1
957	0.148342489	0.090833674	0.116227936	0.148342489	0.180457043	0.084113382	0.212571597	2
960	0.271042588	0.0536491	0.24573087	0.276652977	0.299159501	0.214808763	0.321666024	3
962	0.695604087		0.695604087	0.695604087	0.695604087	0.695604087	0.695604087	1
963	0.874256869	0.553636317	0.571490262	0.737722298	1.168517705	0.114104328	1.787955526	7
964	1.447077469	1.063462852	1.071086572	1.447077469	1.823068366	0.695095675	2.199059263	2
965	0.219303937	0.052809296	0.200633031	0.219303937	0.237974842	0.181962125	0.256645748	2
966	1.687464238	0.645578564	1.459217747	1.687464238	1.915710728	1.230971257	2.143957218	2
967	1.193523917		1.193523917	1.193523917	1.193523917	1.193523917	1.193523917	1
968	1.336780387		1.336780387	1.336780387	1.336780387	1.336780387	1.336780387	1
969	0.742729833		0.742729833	0.742729833	0.742729833	0.742729833	0.742729833	1
970	0.663525109	0.748415458	0.398920286	0.663525109	0.928129932	0.134315464	1.192734754	2
971	0.23162984	0.042689077	0.207548885	0.216641742	0.248216747	0.198456027	0.279791751	3
972	0.700068208	0.735629873	0.266982772	0.490510407	0.789201149	0.066999648	4.358225033	78
973	0.614198049		0.614198049	0.614198049	0.614198049	0.614198049	0.614198049	1
974	0.14573107		0.14573107	0.14573107	0.14573107	0.14573107	0.14573107	1
975	0.57168524		0.57168524	0.57168524	0.57168524	0.57168524	0.57168524	1
976	0.080370754		0.080370754	0.080370754	0.080370754	0.080370754	0.080370754	1
977	0.14709921		0.14709921	0.14709921	0.14709921	0.14709921	0.14709921	1
978	0.691818564		0.691818564	0.691818564	0.691818564	0.691818564	0.691818564	1
979	0.70307652		0.70307652	0.70307652	0.70307652	0.70307652	0.70307652	1
